TRAV1-TRAJ6
TRAV12-TRAJ2
TRAV17-TRAJ26
TRAV17-TRAJ35
TRAV17-TRAJ53
TRAV26-TRAJ43
TRAV30-TRAJ48
TRAV30-TRAJ53
TRAV35-TRAJ4
TRAV36/DV7-TRAJ36
TRAV36/DV7-TRAJ47
TRAV40-TRAJ48
TRAV8-TRAJ50
