VJ,count,relative.frequency
TRAV1-TRAJ6,18,0.120805369128
TRAV12-TRAJ2,4,0.0268456375839
TRAV17-TRAJ26,2,0.0134228187919
TRAV17-TRAJ35,2,0.0134228187919
TRAV17-TRAJ53,3,0.0201342281879
TRAV26-TRAJ43,4,0.0268456375839
TRAV30-TRAJ48,6,0.0402684563758
TRAV30-TRAJ53,8,0.0536912751678
TRAV35-TRAJ4,5,0.0335570469799
TRAV36/DV7-TRAJ36,87,0.58389261745
TRAV36/DV7-TRAJ47,2,0.0134228187919
TRAV40-TRAJ48,4,0.0268456375839
TRAV8-TRAJ50,4,0.0268456375839
