ID,5S.cov
418985cf-3f58-4673-9303-961204e7c470_gdc_realn_rehead,82.7944
41abd1be-c073-4bca-9133-215bf70f579a_gdc_realn_rehead,46.4023
441fc7e7-d77a-4cfb-bb94-08c5cbf43e10_gdc_realn_rehead,60.7471
443ddc6820a4dad1e07abf188b2112af,99.5862
444742fb-f08e-45a8-9f31-b265a34deff7_gdc_realn_rehead,245.882
454e39689782962a5b86c5d630da5472,34.3276
46a22381-f8d1-40d3-9be4-8b48be4d0e86_gdc_realn_rehead,50.5875
481e7b1a-4750-46e9-a326-7c515fe80bc6_gdc_realn_rehead,74.7109
49e98347-78bc-46bb-ba9a-895ec6cee19a_gdc_realn_rehead,93.004
4bcb9553-89a1-43b8-87ed-c734bcaccb42_gdc_realn_rehead,70.3028
4c5ead4f-f096-40af-ad34-90b0eb4d3b8f_gdc_realn_rehead,67.79
4d5907b73a2622840152c66ae4b47b09,177.521
4d94d6b6-0ea3-4f5e-9b41-ac1618e7629f_gdc_realn_rehead,13.0469
4e3283f8-1bb1-452f-b065-2de234d759d7_gdc_realn_rehead,67.9567
514c92d6a709c62bab935a48309dc606,97.6645
517b7d48-b56f-4669-9ac9-a2ebd38f62c0_gdc_realn_rehead,40.2847
53a151cc962a0e0f0cfe62c1e6b29810,298.469
55427b1d-4160-45fd-a5d4-a72d724e87b4_gdc_realn_rehead,122.362
56089d6d-8b99-4325-8e68-e91d78b56322_gdc_realn_rehead,92.1362
57b7eeb8-5a64-4780-aa48-49ae8f168ad6_gdc_realn_rehead,94.9315
57d37bbc-2be0-4af4-b946-7e876c5d698a_gdc_realn_rehead,47.4633
57dc603f-e1c0-4fc0-9ed9-76dd5b6f9bd4_gdc_realn_rehead,126.505
592d1b0ed845160b9526409972fc2963,127.126
5a5439dd-fc39-4514-be27-7ca9c006a3da_gdc_realn_rehead,164.494
5b7b5b7c4892052d4cf8f97800fbb3b7,38.4452
5d9ee8ea-0c7c-4183-9fa3-5d7ef423fd7a_gdc_realn_rehead,68.683
5e349b4a49c6ac2cbb838e170a6a29b0,12.0548
60aede2a-3fb0-499d-9860-c4f63d1f540d_gdc_realn_rehead,32.4903
6277c358b68c67bb3fcfd7a7515aa59b,172.626
62d08a29bfd3d672ec5fa548d2ec208a,36.1945
64a624ae-5239-424e-8804-410a75cdae7f_gdc_realn_rehead,97.6795
65839088-5527-4008-9232-142ee8e0e627_gdc_realn_rehead,30.008
660390b51c0c7556d19d14d86f490de4,13.0486
66fceedb-f1e9-468c-af06-f2c19bbc44ee_gdc_realn_rehead,75.2856
67295c38-9cc0-4492-b782-05f762173b63_gdc_realn_rehead,106.373
684e60d7cd74c16e5db250ced3a4438b,105.083
6b7d7402-42f0-4511-937f-9462ef549ef6_gdc_realn_rehead,52.8585
6bc88daf-bcd3-4343-9aa5-bb69a90d6503_gdc_realn_rehead,59.7714
6c5a23c8-70b3-4bb3-842d-42b048978f1e_gdc_realn_rehead,84.7577
6ce7ac63-a45e-4f8a-9520-0d22536fcd05_gdc_realn_rehead,64.3749
6d42470b-3777-4edb-a2ec-0f2dc3089caa_gdc_realn_rehead,54.9107
6dae1a17-70b1-4989-b591-ce1dec2ec802_gdc_realn_rehead,71.1344
6dc766aa-8f14-45fb-9fda-91c3cad1b887_gdc_realn_rehead,37.7538
6e3dbbf4-ea7c-438f-a944-55adb7c291d5_gdc_realn_rehead,108.132
7009dd2b-81da-4e36-ac29-5c17b96bfd69_gdc_realn_rehead,175.064
703063d9-d8a1-4ec4-8bc2-ba80456c9daf_gdc_realn_rehead,52.1941
710df87f-9999-432b-9a4a-cdf6d698c093_gdc_realn_rehead,79.2286
72281bd282e6874c6791000006028c6f,121.603
73d26d1e-fbdf-46b0-80e2-f59f58daf6cb_gdc_realn_rehead,69.1508
73fa499e-6036-49bb-9ae2-a1935a278dbf_gdc_realn_rehead,81.5447
76a0703a-0540-4ca8-baa8-128a52b0846d_gdc_realn_rehead,83.9655
78ef733f-6117-482b-9a45-93bd0366d0ee_gdc_realn_rehead,60.9248
79c6d8ea-54c0-4bc4-bf52-1477b6c9d46c_gdc_realn_rehead,77.576
7da2c815-ea22-4e56-93a1-80b3f40b8017_gdc_realn_rehead,70.786
7e643be8-5454-42aa-ab67-1c77c8c55809_gdc_realn_rehead,65.0619
7f37d4d0-be8b-4f0f-a2eb-d7368e279f04_gdc_realn_rehead,54.7666
7fb5469e-68e2-4e37-85be-5e78259b66d1_gdc_realn_rehead,92.3223
7fc80880-9530-489c-84a8-5994ce745892_gdc_realn_rehead,85.7714
804a851a-a496-4139-b304-4fcbb4e466f8_gdc_realn_rehead,79.2882
861a0fcf-4794-4437-9f95-714be338f3c8_gdc_realn_rehead,59.3448
8851e1f8685d9a675e2822f3f78be5fe,195.13
88559690f83459635b6059da3467cea0,255.71
88df0f9768818d09d7279d778628eb30,18.5398
88e6af82-c26e-4a65-9cd2-97c6b78d25ee_gdc_realn_rehead,16.7118
89d63b331e9cc8c8677ecf2d62b794da,95.1905
8a029484-0321-4f80-a941-37bbb91d41e6_gdc_realn_rehead,71.58
8b875f224d4fb52377dda158b92379cc,105.421
8b9f9dccf83b6b131668989350c210d2,54.6065
8ba08d5f-7688-4e6c-a244-62be20a4b644_gdc_realn_rehead,180.808
8ca1ceb0-da28-43de-b1df-afadf5360109_gdc_realn_rehead,47.9054
8cbf17cb-67ca-492f-82be-e749ad6a4b98_gdc_realn_rehead,33.6733
8e0af4f2274023a7637905cc63e32fba,181.717
8e17bc34-5a3a-405d-b8fb-682e7d2b87fd_gdc_realn_rehead,73.5844
8f84a752d7f5973527254df41ef35aaf,72.2184
90233afc-bc3f-450e-a96c-6f5b754d2749_gdc_realn_rehead,60.1012
9223f026-93b0-42ca-9069-5cb40b1a34e8_gdc_realn_rehead,95.9156
924207e4-46c5-40ed-b829-4a8fc925466d_gdc_realn_rehead,60.6565
92a8a159-4328-4c84-9cf8-38e884b4b4fc_gdc_realn_rehead,78.2604
92e95650-529d-4ca6-91c7-f466de4d0836_gdc_realn_rehead,65.9191
9308cfb3-1931-4e3e-92ff-efba26874029_gdc_realn_rehead,65.6751
93b27e4783c418b44b0754fbc5dab777,48.5548
9478d01a-af79-498e-aea6-406495acdb37_gdc_realn_rehead,65.4938
94c3a049a4af3e73c5387c52a5ecc776,101.338
94d02ca0-9544-4491-8cde-f73748465eeb_gdc_realn_rehead,89.0787
