ID,cov.rDNA,cov.5S
4bcb9553-89a1-43b8-87ed-c734bcaccb42_gdc_realn_rehead.rDNA.pileup.gz,76.0932,0.17714
4c5ead4f-f096-40af-ad34-90b0eb4d3b8f_gdc_realn_rehead.rDNA.pileup.gz,113.719,0.182837
4d94d6b6-0ea3-4f5e-9b41-ac1618e7629f_gdc_realn_rehead.rDNA.pileup.gz,0,0
4e3283f8-1bb1-452f-b065-2de234d759d7_gdc_realn_rehead.rDNA.pileup.gz,15.4866,0.162767
514c92d6a709c62bab935a48309dc606.rDNA.pileup.gz,482.084,0.307279
517b7d48-b56f-4669-9ac9-a2ebd38f62c0_gdc_realn_rehead.rDNA.pileup.gz,8.12993,0.0958837
55427b1d-4160-45fd-a5d4-a72d724e87b4_gdc_realn_rehead.rDNA.pileup.gz,177.837,0.336465
56089d6d-8b99-4325-8e68-e91d78b56322_gdc_realn_rehead.rDNA.pileup.gz,15.6734,0.21586
57b7eeb8-5a64-4780-aa48-49ae8f168ad6_gdc_realn_rehead.rDNA.pileup.gz,20.9095,0.209814
57d37bbc-2be0-4af4-b946-7e876c5d698a_gdc_realn_rehead.rDNA.pileup.gz,10.5614,0.108302
57dc603f-e1c0-4fc0-9ed9-76dd5b6f9bd4_gdc_realn_rehead.rDNA.pileup.gz,107.166,0.293953
5a5439dd-fc39-4514-be27-7ca9c006a3da_gdc_realn_rehead.rDNA.pileup.gz,40.4525,0.397721
5b7b5b7c4892052d4cf8f97800fbb3b7.rDNA.pileup.gz,86.4189,0.154023
5d9ee8ea-0c7c-4183-9fa3-5d7ef423fd7a_gdc_realn_rehead.rDNA.pileup.gz,15.8199,0.155907
5e349b4a49c6ac2cbb838e170a6a29b0.rDNA.pileup.gz,65.134,0.046907
60aede2a-3fb0-499d-9860-c4f63d1f540d_gdc_realn_rehead.rDNA.pileup.gz,9.48746,0.0912093
6277c358b68c67bb3fcfd7a7515aa59b.rDNA.pileup.gz,277.235,0.673512
62d08a29bfd3d672ec5fa548d2ec208a.rDNA.pileup.gz,119.954,0.126581
64a624ae-5239-424e-8804-410a75cdae7f_gdc_realn_rehead.rDNA.pileup.gz,43.2437,0.312233
65839088-5527-4008-9232-142ee8e0e627_gdc_realn_rehead.rDNA.pileup.gz,8.26837,0.0796512
66fceedb-f1e9-468c-af06-f2c19bbc44ee_gdc_realn_rehead.rDNA.pileup.gz,15.4951,0.173674
67295c38-9cc0-4492-b782-05f762173b63_gdc_realn_rehead.rDNA.pileup.gz,24.9023,0.257233
684e60d7cd74c16e5db250ced3a4438b.rDNA.pileup.gz,271.493,0.436419
6b7d7402-42f0-4511-937f-9462ef549ef6_gdc_realn_rehead.rDNA.pileup.gz,95.4404,0.195419
6bc88daf-bcd3-4343-9aa5-bb69a90d6503_gdc_realn_rehead.rDNA.pileup.gz,12.9005,0.136535
6c5a23c8-70b3-4bb3-842d-42b048978f1e_gdc_realn_rehead.rDNA.pileup.gz,34.5228,0.237233
6ce7ac63-a45e-4f8a-9520-0d22536fcd05_gdc_realn_rehead.rDNA.pileup.gz,18.0161,0.142233
6d42470b-3777-4edb-a2ec-0f2dc3089caa_gdc_realn_rehead.rDNA.pileup.gz,71.3248,0.140047
6dae1a17-70b1-4989-b591-ce1dec2ec802_gdc_realn_rehead.rDNA.pileup.gz,21.9695,0.161186
6dc766aa-8f14-45fb-9fda-91c3cad1b887_gdc_realn_rehead.rDNA.pileup.gz,17.6254,0.0950233
6e3dbbf4-ea7c-438f-a944-55adb7c291d5_gdc_realn_rehead.rDNA.pileup.gz,34.4973,0.253279
7009dd2b-81da-4e36-ac29-5c17b96bfd69_gdc_realn_rehead.rDNA.pileup.gz,40.8199,0.371535
703063d9-d8a1-4ec4-8bc2-ba80456c9daf_gdc_realn_rehead.rDNA.pileup.gz,10.6541,0.116767
710df87f-9999-432b-9a4a-cdf6d698c093_gdc_realn_rehead.rDNA.pileup.gz,97.0099,0.193256
72281bd282e6874c6791000006028c6f.rDNA.pileup.gz,199.29,0.447465
73d26d1e-fbdf-46b0-80e2-f59f58daf6cb_gdc_realn_rehead.rDNA.pileup.gz,15.0936,0.162326
73fa499e-6036-49bb-9ae2-a1935a278dbf_gdc_realn_rehead.rDNA.pileup.gz,17.5609,0.186395
76a0703a-0540-4ca8-baa8-128a52b0846d_gdc_realn_rehead.rDNA.pileup.gz,16.7464,0.209814
78ef733f-6117-482b-9a45-93bd0366d0ee_gdc_realn_rehead.rDNA.pileup.gz,11.733,0.130767
79c6d8ea-54c0-4bc4-bf52-1477b6c9d46c_gdc_realn_rehead.rDNA.pileup.gz,15.8392,0.184791
7da2c815-ea22-4e56-93a1-80b3f40b8017_gdc_realn_rehead.rDNA.pileup.gz,15.4095,0.205349
7e643be8-5454-42aa-ab67-1c77c8c55809_gdc_realn_rehead.rDNA.pileup.gz,12.1438,0.161419
7f37d4d0-be8b-4f0f-a2eb-d7368e279f04_gdc_realn_rehead.rDNA.pileup.gz,18.4453,0.124326
7fb5469e-68e2-4e37-85be-5e78259b66d1_gdc_realn_rehead.rDNA.pileup.gz,20.4005,0.220116
7fc80880-9530-489c-84a8-5994ce745892_gdc_realn_rehead.rDNA.pileup.gz,16.0892,0.159
804a851a-a496-4139-b304-4fcbb4e466f8_gdc_realn_rehead.rDNA.pileup.gz,19.3831,0.195791
861a0fcf-4794-4437-9f95-714be338f3c8_gdc_realn_rehead.rDNA.pileup.gz,16.3893,0.132116
8851e1f8685d9a675e2822f3f78be5fe.rDNA.pileup.gz,345.125,0.660814
88559690f83459635b6059da3467cea0.rDNA.pileup.gz,324.697,0.794837
88df0f9768818d09d7279d778628eb30.rDNA.pileup.gz,290.641,0.0878605
88e6af82-c26e-4a65-9cd2-97c6b78d25ee_gdc_realn_rehead.rDNA.pileup.gz,4.34185,0.0436279
8a029484-0321-4f80-a941-37bbb91d41e6_gdc_realn_rehead.rDNA.pileup.gz,15.3248,0.165953
8ba08d5f-7688-4e6c-a244-62be20a4b644_gdc_realn_rehead.rDNA.pileup.gz,48.0833,0.447907
8ca1ceb0-da28-43de-b1df-afadf5360109_gdc_realn_rehead.rDNA.pileup.gz,10.3244,0.107698
8cbf17cb-67ca-492f-82be-e749ad6a4b98_gdc_realn_rehead.rDNA.pileup.gz,32.0762,0.0743953
8e17bc34-5a3a-405d-b8fb-682e7d2b87fd_gdc_realn_rehead.rDNA.pileup.gz,19.9713,0.163698
8f84a752d7f5973527254df41ef35aaf.rDNA.pileup.gz,432.311,0.283605
90233afc-bc3f-450e-a96c-6f5b754d2749_gdc_realn_rehead.rDNA.pileup.gz,12.069,0.134581
9223f026-93b0-42ca-9069-5cb40b1a34e8_gdc_realn_rehead.rDNA.pileup.gz,19.0291,0.221302
924207e4-46c5-40ed-b829-4a8fc925466d_gdc_realn_rehead.rDNA.pileup.gz,50.8239,0.151814
92a8a159-4328-4c84-9cf8-38e884b4b4fc_gdc_realn_rehead.rDNA.pileup.gz,14.2021,0.186256
92e95650-529d-4ca6-91c7-f466de4d0836_gdc_realn_rehead.rDNA.pileup.gz,24.0918,0.157558
9308cfb3-1931-4e3e-92ff-efba26874029_gdc_realn_rehead.rDNA.pileup.gz,69.677,0.174628
93b27e4783c418b44b0754fbc5dab777.rDNA.pileup.gz,342.56,0.169
9478d01a-af79-498e-aea6-406495acdb37_gdc_realn_rehead.rDNA.pileup.gz,12.3114,0.15886
94c3a049a4af3e73c5387c52a5ecc776.rDNA.pileup.gz,147.139,0.375349
94d02ca0-9544-4491-8cde-f73748465eeb_gdc_realn_rehead.rDNA.pileup.gz,19.556,0.199767
9531ac98-fef6-4d7a-a444-ba83b7eb0f92_gdc_realn_rehead.rDNA.pileup.gz,8.95296,0.0820233
975e9b3660d3ea88f5de0d650d5daefd.rDNA.pileup.gz,176.843,0.272953
9910c730-39be-4cf1-9007-1b3a9712a4f2_gdc_realn_rehead.rDNA.pileup.gz,14.8553,0.132535
9aaecc75-33ae-42e7-8cc9-806afd9f067a_gdc_realn_rehead.rDNA.pileup.gz,444.416,0.199349
9b219189-feb7-42a2-81fd-c35fef0bb8db_gdc_realn_rehead.rDNA.pileup.gz,13.2455,0.148395
9ca830f3-ac0a-49a9-892d-878b1d593743_gdc_realn_rehead.rDNA.pileup.gz,9.78315,0.126256
9e6c829af95ef7aefb62645075b5d01f.rDNA.pileup.gz,399.825,1.00126
9fa6f4a57f818650b2a9b134804eac67.rDNA.pileup.gz,84.6711,0.272256
9fd2752a-dc0e-4ac4-9149-39206980cba9_gdc_realn_rehead.rDNA.pileup.gz,26.3566,0.273209
a00aa459-e740-486f-a288-cf7e4ef3e241_gdc_realn_rehead.rDNA.pileup.gz,53.4028,0.429442
a139f37f-a62c-4722-9dc7-a15df478d791_gdc_realn_rehead.rDNA.pileup.gz,19.3598,0.158837
a3736f9a-6f21-4b60-82c9-fef598683885_gdc_realn_rehead.rDNA.pileup.gz,17.8911,0.228279
a4c45d2b-9067-4218-8428-1b7be3977ee1_gdc_realn_rehead.rDNA.pileup.gz,21.3024,0.241605
a50cdac5-77de-4120-bf4e-fa45415e389d_gdc_realn_rehead.rDNA.pileup.gz,12.978,0.152186
