VJ,count,relative.frequency
TRAV10-TRAJ22,3,0.0102389078498
TRAV10-TRAJ35,10,0.0341296928328
TRAV20-TRAJ48,2,0.00682593856655
TRAV26-TRAJ43,2,0.00682593856655
TRAV30-TRAJ53,2,0.00682593856655
TRAV34-TRAJ35,3,0.0102389078498
TRAV35-TRAJ35,77,0.262798634812
TRAV35-TRAJ48,110,0.37542662116
TRAV36/DV7-TRAJ36,72,0.245733788396
TRAV38-TRAJ48,6,0.0204778156997
TRAV41-TRAJ35,2,0.00682593856655
TRAV9-TRAJ35,4,0.0136518771331
