IGKJ2-IGKJ2
IGKJ5-IGKJ5
IGKV1-IGKJ1
IGKV1-IGKJ3
IGKV1-IGKJ4
IGKV2/OR2-IGKJ2
IGKV2/OR2-IGKJ3
IGKV2/OR2-IGKJ4
