IGKJ3-IGKJ3
IGKV1-IGKJ2
IGKV1-IGKJ3
IGKV1-IGKJ4
IGKV1D-IGKJ2
IGKV3-IGKJ2
IGKV3-IGKJ3
IGKV4-IGKJ1
