ID,cov.MT.RNASeq
8ba08d5f-7688-4e6c-a244-62be20a4b644_gdc_realn_rehead,402.427847185
8ca1ceb0-da28-43de-b1df-afadf5360109_gdc_realn_rehead,231.879473716
90233afc-bc3f-450e-a96c-6f5b754d2749_gdc_realn_rehead,278.510048886
9223f026-93b0-42ca-9069-5cb40b1a34e8_gdc_realn_rehead,405.02909047
924207e4-46c5-40ed-b829-4a8fc925466d_gdc_realn_rehead,141.332186614
92a8a159-4328-4c84-9cf8-38e884b4b4fc_gdc_realn_rehead,235.090409801
9478d01a-af79-498e-aea6-406495acdb37_gdc_realn_rehead,210.561953045
94d02ca0-9544-4491-8cde-f73748465eeb_gdc_realn_rehead,263.638179733
9531ac98-fef6-4d7a-a444-ba83b7eb0f92_gdc_realn_rehead,109.332307321
9910c730-39be-4cf1-9007-1b3a9712a4f2_gdc_realn_rehead,140.938559961
9aaecc75-33ae-42e7-8cc9-806afd9f067a_gdc_realn_rehead,421.84996077
9ca830f3-ac0a-49a9-892d-878b1d593743_gdc_realn_rehead,221.646025711
9fd2752a-dc0e-4ac4-9149-39206980cba9_gdc_realn_rehead,344.918643249
a139f37f-a62c-4722-9dc7-a15df478d791_gdc_realn_rehead,213.087874947
a3736f9a-6f21-4b60-82c9-fef598683885_gdc_realn_rehead,138.77765707
a4c45d2b-9067-4218-8428-1b7be3977ee1_gdc_realn_rehead,612.11388738
a50cdac5-77de-4120-bf4e-fa45415e389d_gdc_realn_rehead,315.377210453
aa44b29e-8a79-43ae-b8c4-8b7ffa8e07cc_gdc_realn_rehead,117.579697025
abe71233-5615-42a4-b2fd-8988f22c3ac9_gdc_realn_rehead,606.2111775
ac92ae82-c416-4812-93e1-9f3def081381_gdc_realn_rehead,131.389582956
ad779f07-1d5e-4720-be52-4d031146349f_gdc_realn_rehead,130.913633895
b0363f34-ad46-42b2-be94-eec3be39160b_gdc_realn_rehead,241.788943207
b04cbefe-48d2-40ca-9230-18566adbe9ee_gdc_realn_rehead,327.572032108
b62181ac-22b7-452d-8055-313a8fd9b740_gdc_realn_rehead,441.376848331
bd151a41-d4db-4044-9e5d-6c7df9282353_gdc_realn_rehead,221.971150945
c292261b-d8e9-4245-936a-884d0c5f2544_gdc_realn_rehead,389.422958537
c4b527da-7ddc-4bea-a3f0-45379f159c59_gdc_realn_rehead,118.258736194
c4c56341-9436-4ebe-a008-f822256db2d6_gdc_realn_rehead,127.546985334
c662eb1e-d0f9-4e36-b07a-1464ba06ff99_gdc_realn_rehead,109.168205685
c79fd4ee-51a2-4566-b6fd-7c883e5f09d6_gdc_realn_rehead,291.181966323
c92b3b05-9cdf-4dba-8f8e-e12e82b8e9ec_gdc_realn_rehead,279.278049369
ca70f952-1943-4b89-94fc-3795b5cf29a7_gdc_realn_rehead,127.035186191
cb41fa4c-8c27-49b2-8070-593c6edccfc6_gdc_realn_rehead,246.484760698
cc68e6a2-0865-4656-80fb-2594a64ffba9_gdc_realn_rehead,82.1054378659
cd0e8e79-5897-426d-803e-a6c3f1bbdfda_gdc_realn_rehead,297.45011769
cdceb01f-0ea0-46a3-a1da-9bd84479235c_gdc_realn_rehead,410.658458567
d1731e80-53bc-4225-9097-8d7e32aa173a_gdc_realn_rehead,199.970185286
d1986fd8-b966-4ace-ab1a-581a18ecbdbe_gdc_realn_rehead,158.623453437
d1ada222-b67f-47c0-b380-091eaab093b4_gdc_realn_rehead,334.600639749
d4f41f6d-7353-462d-ab1e-61adac431d8b_gdc_realn_rehead,248.349689179
dbaa4e7f-79fc-43ed-8258-f1f50110495d_gdc_realn_rehead,440.470637938
dcc908fd-afb3-48a7-9f48-d98355d50030_gdc_realn_rehead,1420.18269057
ddd400df-3376-447a-859b-7415a679eb46_gdc_realn_rehead,50.2184802945
de24d8b4-3113-480a-84bd-86d8f39560cf_gdc_realn_rehead,166.344921238
e0990992-6012-41ef-9db2-e0090973f822_gdc_realn_rehead,145.917194761
e345e4fc-a026-4f70-8e35-ec0a60dc6218_gdc_realn_rehead,525.267608184
e9ba1277-0d5b-413a-b30b-ed5df883f036_gdc_realn_rehead,96.7264168025
ebf6d5b9-6359-46d9-9e73-066a15b5f903_gdc_realn_rehead,64.7041462973
ed5e8d92-a12a-4da5-8433-6016e8ce1f5f_gdc_realn_rehead,99.0618021607
f0230c35-06f0-4ef2-ad92-cdead9cd361
