ID,nIGH2,nIGK2,nIGL2,nTCRA2,nTCRB2,nTCRD2,nTCRG2,loadIGH2,loadIGK2,loadIGL2,loadTCRA2,loadTCRB2,loadTCRD2,loadTCRG2,alphaIGH2,alphaIGK2,alphaIGL2,alphaTCRA2,alphaTCRB2,alphaTCRD2,alphaTCRG2
3cf10dbd-0f15-4a50-8980-8959deb38538_gdc_realn_rehead,0,0,0,12,0,0,0,0,0,0,37,0,0,0,0,0,0,2.34433867822,0,0,0
3ea7a215-73c4-4e11-94f3-2aa03325349e_gdc_realn_rehead,38,57,35,298,30,2,0,515,1026,538,1411,94,15,0,2.90297303075,2.6854782208,2.72148503324,4.27430744801,3.2558175092,0.500402423538,0
418985cf-3f58-4673-9303-961204e7c470_gdc_realn_rehead,50,703,177,179,3,3,0,281,7307,1145,1501,10,17,0,3.26040229713,5.2670833558,4.49874620039,4.28820134634,0.950270539233,0.923840705631,0
441fc7e7-d77a-4cfb-bb94-08c5cbf43e10_gdc_realn_rehead,1,9,3,13,0,0,0,3,28,7,42,0,0,0,-0.0,2.1349282171,1.07899220788,2.41068271303,0,0,0
444742fb-f08e-45a8-9f31-b265a34deff7_gdc_realn_rehead,3,40,13,21,0,1,0,15,199,85,106,0,3,0,0.860851390631,3.39721003316,2.0131725172,2.75892961238,0,-0.0,0
46a22381-f8d1-40d3-9be4-8b48be4d0e86_gdc_realn_rehead,8,110,55,30,0,1,0,27,739,314,150,0,10,0,2.01802164287,3.85543243884,3.5401565418,2.5680682527,0,-0.0,0
481e7b1a-4750-46e9-a326-7c515fe80bc6_gdc_realn_rehead,1,36,8,19,2,0,0,4,107,18,717,4,0,0,-0.0,3.43822958599,2.0620695413,0.442513023908,0.69314718056,0,0
49e98347-78bc-46bb-ba9a-895ec6cee19a_gdc_realn_rehead,100,224,73,409,15,1,0,1743,2083,475,6041,46,6,0,3.85552595282,4.70041724551,3.7328598347,2.26042917999,2.62943937964,-0.0,0
4bcb9553-89a1-43b8-87ed-c734bcaccb42_gdc_realn_rehead,0,4,1,23,0,0,0,0,68,2,2235,0,0,0,0,0.531242736617,-0.0,0.235230318697,0,0,0
4d94d6b6-0ea3-4f5e-9b41-ac1618e7629f_gdc_realn_rehead,24,86,64,56,3,1,0,1725,3300,5755,25698,9,2,0,0.662950347744,2.67807960048,1.62562119535,0.155678649613,0.99502699018,-0.0,0
4e3283f8-1bb1-452f-b065-2de234d759d7_gdc_realn_rehead,6,47,18,32,0,0,0,67,409,493,107,0,0,0,1.52102452041,2.83905155894,0.916191637317,3.31771682156,0,0,0
55427b1d-4160-45fd-a5d4-a72d724e87b4_gdc_realn_rehead,70,1782,566,564,6,21,2,282,16066,3650,18332,193,138,4,3.88311245978,6.49119267424,5.60403247125,1.85904150601,0.413781923307,2.18144510355,0.69314718056
56089d6d-8b99-4325-8e68-e91d78b56322_gdc_realn_rehead,30,288,78,75,7,0,0,869,26457,2222,3239,36,0,0,1.79014656422,1.86782823159,2.53865603433,1.56315931759,1.52380734488,0,0
57b7eeb8-5a64-4780-aa48-49ae8f168ad6_gdc_realn_rehead,1,13,9,26,1,0,0,2,111,36,75,2,0,0,-0.0,1.93394772979,1.8955612081,3.05515451747,-0.0,0,0
57dc603f-e1c0-4fc0-9ed9-76dd5b6f9bd4_gdc_realn_rehead,36,534,157,162,0,4,0,163,4445,1015,4661,0,15,0,3.30625216329,5.08640913613,4.15090937845,1.24801842821,0,1.3095258353,0
5a5439dd-fc39-4514-be27-7ca9c006a3da_gdc_realn_rehead,1609,1373,976,1175,17,15,0,53377,37159,34927,77261,367,627,0,5.91856958283,5.95570717786,5.36428964438,1.85463234471,1.20794916643,0.922302727534,0
5d9ee8ea-0c7c-4183-9fa3-5d7ef423fd7a_gdc_realn_rehead,5,15,6,16,0,0,0,75,1063,64,104,0,0,0,0.661476977181,1.58083160709,1.09589463236,1.88451806531,0,0,0
60aede2a-3fb0-499d-9860-c4f63d1f540d_gdc_realn_rehead,6,46,14,16,1,0,0,35,758,1191,140,4,0,0,1.59895178202,2.13503936712,0.304577004696,2.10656715948,-0.0,0,0
65839088-5527-4008-9232-142ee8e0e627_gdc_realn_rehead,8,198,72,44,4,1,0,23,751,245,227,14,6,0,1.85379501054,4.87106785007,4.02015895889,2.69571042277,1.30130555044,-0.0,0
66fceedb-f1e9-468c-af06-f2c19bbc44ee_gdc_realn_rehead,1,20,4,10,1,0,0,15,45,8,34,2,0,0,-0.0,2.97080920487,1.38629436112,2.07311196805,-0.0,0,0
67295c38-9cc0-4492-b782-05f762173b63_gdc_realn_rehead,24,268,108,69,7,1,0,461,1337,3876,277,18,2,0,1.04592724472,4.95560161156,1.62727823339,3.70339917157,1.87512185602,-0.0,0
6b7d7402-42f0-4511-937f-9462ef549ef6_gdc_realn_rehead,1,17,8,23,1,0,0,2,43,18,4278,4,0,0,-0.0,2.77597335949,2.04319187055,0.109533387605,-0.0,0,0
