ID,average.MT.div.RNA.seq,max.MT.div.RNA.Seq
022dd75d-0977-40b5-8804-bf0a281c149b_gdc_realn_rehead,0.142216380558,1.74739444624
06ab660e-2766-4c97-8f2e-b8495ddc0880_gdc_realn_rehead,0.206277852464,1.0
0ade1371-b218-4f01-a39e-b503d30d24e0_gdc_realn_rehead,0.213426775101,1.0
0afa74a0-7a7c-4b48-a253-45070049ceea_gdc_realn_rehead,0.262498484659,1.0
0e0dd65a-4a41-4f6c-9ff9-d3cea84de4d7_gdc_realn_rehead,0.291777088196,1.0
0f3494df-6f55-4e6e-8e67-b7bfdecc8dec_gdc_realn_rehead,0.400985934571,1.0
13bddb12-c433-41d4-9953-eda7edaf5efe_gdc_realn_rehead,0.138531283485,1.0
1b43fc14-febe-4994-b814-fd9ad938bd0f_gdc_realn_rehead,0.36850300878,0.991076059838
1bc73950-9b27-4e14-a152-2cca34397565_gdc_realn_rehead,0.31347795081,1.65002242165
1c356cd8-5f5b-4357-90ea-d2d23109e284_gdc_realn_rehead,0.101197930813,0.988160588947
1cafa993-5138-448f-8a4e-d51d6c38cb28_gdc_realn_rehead,0.157838601184,1.0
1d62f45d-8b34-4bd2-8df5-67f3099282dd_gdc_realn_rehead,0.175637963253,1.72192809489
200313ec-9822-4203-a4f4-c91f602ac99c_gdc_realn_rehead,0.2520851551,1.0
201beb6e-8c73-432e-aafd-893e44ad6163_gdc_realn_rehead,0.132361886892,0.98604003184
232004bd-7fe6-427a-b4c4-cf5e6b4f1759_gdc_realn_rehead,0.142424182644,0.999920070821
23221ebb-100c-4e28-bf4e-0f164a8ed50a_gdc_realn_rehead,0.107422677955,0.764204506509
2360a9b2-fe19-42a6-b802-dcc88adcc1a5_gdc_realn_rehead,0.337210378404,1.0
26cdbfd9-801b-42fd-84e7-a8c177f0bd8b_gdc_realn_rehead,0.205748594056,0.989587521222
291c515a-0c08-4f00-ad1a-13b6ec6fb982_gdc_realn_rehead,0.147610576423,0.975381790327
2968a0ca-b550-40e7-8da5-cf771936f77a_gdc_realn_rehead,0.115606961386,0.970950594455
2a8cf710-6197-4a1c-b7b3-97bbb975c715_gdc_realn_rehead,0.229998234514,0.985228136034
2b9f6e1a-1b6c-4c33-8c21-7fe7ac515294_gdc_realn_rehead,0.367523675488,0.987692508896
2c677a6e-2c90-4b16-aca8-6c277f0fece6_gdc_realn_rehead,0.351065160438,1.0
2f107360-f95d-4edb-821e-f5db5f97453a_gdc_realn_rehead,0.17633868374,1.0
2f9b92f8-8c19-41e3-896c-42f383616055_gdc_realn_rehead,0.0632129587297,0.968700343651
337afcb4-52a9-4819-8b35-eb46d34f775e_gdc_realn_rehead,0.286072511075,0.983269211097
37148380-3155-46a5-bc73-d79cf0549e87_gdc_realn_rehead,0.0780705136332,0.994693795361
39b27f76-9e10-4284-b5dc-7b5a554dfe26_gdc_realn_rehead,0.203089849503,1.0
