ID,nIGH,nIGK,nIGL,nTCRA,nTCRB,nTCRD,nTCRG,loadIGH,loadIGK,loadIGL,loadTCRA,loadTCRB,loadTCRD,loadTCRG,alphaIGH,alphaIGK,alphaIGL,alphaTCRA,alphaTCRB,alphaTCRD,alphaTCRG
C508.TCGA-39-5019-01A-01D-1817-08.2,0,0,1,9,5,0,0,0,0,4,73,112,0,0,0,0,-0.0,1.28399946694,1.16700510686,0,0
C508.TCGA-43-6771-01A-11D-1817-08.2,0,0,0,9,4,0,2,0,0,0,57,54,0,4,0,0,0,1.37055148404,1.20558704424,0,0.69314718056
C508.TCGA-56-8304-01A-11D-2323-08.5,0,1,0,3,4,0,0,0,2,0,43,30,0,0,0,-0.0,0,0.555439741393,1.26912445889,0,0
C508.TCGA-56-8623-01A-11D-2395-08.1,0,0,0,9,3,0,0,0,0,0,42,60,0,0,0,0,0,1.91626815636,1.02172606131,0,0
C508.TCGA-56-8626-01A-11D-2395-08.2,0,0,0,7,5,0,0,0,0,0,38,51,0,0,0,0,0,1.36120303548,1.29168430019,0,0
C508.TCGA-60-2713-01A-01D-1522-08.5,1,0,0,7,4,1,1,2,0,0,48,67,3,2,-0.0,0,0,1.65075523414,1.17507453888,-0.0,-0.0
C508.TCGA-63-A5MB-01A-11D-A26M-08.3,0,0,0,4,4,0,0,0,0,0,24,47,0,0,0,0,0,0.918343312131,1.27361409577,0,0
C508.TCGA-66-2780-01A-01D-1522-08.5,1,0,0,10,4,0,0,2,0,0,83,64,0,0,-0.0,0,0,1.61438108156,1.20010734269,0,0
C508.TCGA-77-8145-01A-11D-2244-08.1,0,0,0,16,4,0,2,0,0,0,61,42,0,4,0,0,0,2.40172370087,1.06186561842,0,0.69314718056
C508.TCGA-77-8153-01A-11D-2395-08.1,0,0,0,5,3,1,0,0,0,0,42,65,3,0,0,0,0,1.10464736784,1.02241141744,-0.0,0
C508.TCGA-85-8070-01A-11D-2244-08.1,0,0,0,8,4,0,0,0,0,0,39,121,0,0,0,0,0,1.46767671013,1.19578538733,0,0
C508.TCGA-85-8582-01A-21D-2395-08.1,1,3,0,6,3,0,0,2,6,0,29,53,0,0,-0.0,1.09861228867,0,1.3688893968,1.05638643647,0,0
C508.TCGA-85-A4CN-01A-11D-A24D-08.1,1,0,0,7,4,0,0,2,0,0,30,34,0,0,-0.0,0,0,1.50659508813,1.25677695719,0,0
C508.TCGA-94-A4VJ-01A-11D-A257-08.1,1,0,0,4,3,0,1,3,0,0,33,27,0,4,-0.0,0,0,0.673887001907,1.06793850504,0,-0.0
C508.TCGA-98-8023-01A-11D-2244-08.1,2,2,2,10,4,1,0,4,5,8,60,77,2,0,0.69314718056,0.673011667009,0.69314718056,1.68230181264,1.07590912649,-0.0,0
C508.TCGA-LA-A7SW-01A-11D-A401-08.1,0,0,0,5,3,1,0,0,0,0,19,34,2,0,0,0,0,1.39290836212,0.991029819293,-0.0,0
C508.TCGA-LUSC-2703-TP-11D-2042-08.5,0,0,0,3,3,0,0,0,0,0,20,29,0,0,0,0,0,0.801818552543,1.07536128617,0,0
C508.TCGA-LUSC-4609-TP-21D-2122-08.3,0,0,1,2,4,0,0,0,0,4,18,53,0,0,0,0,-0.0,0.348832095843,1.24911549766,0,0
C508.TCGA-LUSC-6867-TP-11D-2042-08.10,0,1,0,3,4,0,0,0,2,0,24,51,0,0,0,-0.0,0,0.651950837378,1.20072053043,0,0
C508.TCGA-LUSC-7696-TP-11D-2122-08.4,0,0,0,7,4,0,0,0,0,0,36,60,0,0,0,0,0,1.5143685095,1.23617640671,0,0
C508.TCGA-LUSC-7710-TP-11D-2122-08.3,0,0,0,5,3,0,1,0,0,0,32,33,0,2,0,0,0,0.979139436683,1.03619878482,0,-0.0
C508.TCGA-LUSC-7809-TP-21D-2122-08.3,0,0,0,3,3,0,0,0,0,0,16,28,0,0,0,0,0,0.735621939759,1.07451622314,0,0
C508.TCGA-LUSC-7964-TP-21D-2184-08.2,0,0,0,7,4,0,0,0,0,0,53,60,0,0,0,0,0,1.40745730486,1.16383906859,0,0
C508.TCGA-NC-A5HE-01A-11D-A26M-08.3,0,0,0,3,4,1,1,0,0,0,15,38,2,2,0,0,0,0.860851390631,1.20727580878,-0.0,-0.0
C508.TCGA-NK-A5D1-01A-11D-A26M-08.5,0,0,0,4,3,0,0,0,0,0,27,37,0,0,0,0,0,1.01110455539,0.892670623315,0,0
C509.TCGA-05-5423-01A-01D-1625-08.1,0,0,0,5,4,0,0,0,0,0,17,34,0,0,0,0,0,1.41613968036,1.22721679376,0,0
C509.TCGA-44-5643-01A-01D-1625-08.1,0,0,0,4,3,0,1,0,0,0,18,40,0,2,0,0,0,1.08785655851,1.02965301406,0,-0.0
C509.TCGA-44-6778-01A-11D-1855-08.2,1,3,0,7,3,0,1,2,6,0,48,50,0,4,-0.0,1.09861228867,0,1.12051123979,1.09090760407,0,-0.0
C509.TCGA-44-7667-01A-31D-2063-08.1,1,0,0,5,3,0,0,2,0,0,41,42,0,0,-0.0,0,0,0.888746071746,1.07549745649,0,0
C509.TCGA-44-7669-01A-21D-2063-08.3,0,0,0,4,5,0,0,0,0,0,20,32,0,0,0,0,0,1.08889997535,1.37150133772,0,0
