IGKV1-IGKJ2
IGKV1-IGKJ3
IGKV1-IGKJ4
IGKV1/OR2-IGKJ4
IGKV1D-IGKJ2
IGKV2D-IGKJ2
IGKV3-IGKJ2
IGKV3-IGKJ4
