contig,id,name,number_mismatches,alignment_length,contig_length,adjusted_identity,flag
k51_9,DD166864,ANTIBODY_TO_LATENT_MEMBRANE_PROTEINS_AND_USES_THEREOF_,59,275,326,78.5454545455,no-blast
k51_8,KU746283,Guanarito_mammarenavirus_isolate_CVH-960201_segment_L_complete_sequence_,19,380,398,95.0,no-blast
k51_4,U89438,Pestivirus_type_1_nonstructural_protein_P125-2_(p125)_mRNA_partial_cds_,11,263,268,95.8174904943,no-blast
k51_15,FB361098,Sequence_17_from_Patent_WO2006110762_,127,182,296,30.2197802198,no-blast
k51_14,AB972431,Luna_mammarenavirus_viral_cRNA_segment_L_complete_sequence_strain_SLW-1_,115,95,210,-21.0526315789,no-blast
k51_10,BD140416,Hepatitis_C_virus_protease_,11,391,401,97.1867007673,no-blast
k51_2,AF268174,Bovine_viral_diarrhea_virus_type_2_strain_BVDV2-Ms_St_T4529c_polyprotein_gene_partial_cds_,62,147,203,57.8231292517,no-blast
