contig,id,name,number_mismatches,alignment_length,contig_length,adjusted_identity,flag
k91_336,AY603973,Monkeypox_virus_strain_MPXV-WRAIR7-61_complete_genome_,168,32,200,-425.0,no-blast
k91_239,KF478765,Lassa_virus_strain_Soromba-R_segment_S_complete_sequence_,141,154,276,8.44155844156,no-blast
k91_58,HC493358,Sequence_5_from_Patent_WO2010035292_,241,49,287,-391.836734694,no-blast
