IGKJ2-IGKJ2
IGKJ3-IGKJ3
IGKV1-IGKJ3
IGKV1D-IGKJ4
IGKV2/OR2-IGKJ2
IGKV2/OR2-IGKJ3
IGKV3-IGKJ3
