VJ,count,relative.frequency
TRAV10-TRAJ48,2,0.00316455696203
TRAV17-TRAJ48,3,0.00474683544304
TRAV26-TRAJ35,19,0.0300632911392
TRAV26-TRAJ48,473,0.748417721519
TRAV27-TRAJ48,2,0.00316455696203
TRAV30-TRAJ48,25,0.0395569620253
TRAV34-TRAJ35,2,0.00316455696203
TRAV38-TRAJ35,4,0.00632911392405
TRAV39-TRAJ48,8,0.0126582278481
TRAV40-TRAJ35,2,0.00316455696203
TRAV40-TRAJ48,5,0.00791139240506
TRAV6-TRAJ48,82,0.129746835443
TRAV9-TRAJ35,5,0.00791139240506
