VJ,count,relative.frequency
IGKV1-IGKJ3,17,0.0787037037037
IGKV3-IGKJ2,143,0.662037037037
IGKV3-IGKJ3,43,0.199074074074
IGKV3-IGKJ4,13,0.0601851851852
